site_no,year,value,count
252612080300701,2024,5.695,4
252612080300701,2025,6.345,2
252619080310201,1989,6.51,1
252619080310201,1990,5.926,5
252619080310201,1993,5.83,4
252619080310201,1995,6.17,2
252619080310201,1996,5.41,1
252619080310201,1997,5.845,6
252619080310201,1998,5.882222222222222,9
252619080310201,1999,6.265000000000001,6
252619080310201,2000,5.584,5
252619080310201,2001,5.797499999999999,4
252619080310201,2002,5.726,5
252619080310201,2003,5.97125,8
252619080310201,2004,6.4887500000000005,8
252619080310201,2005,5.316666666666666,6
252619080310201,2006,6.033333333333334,6
252619080310201,2007,5.89,5
252619080310201,2008,5.912,5
252619080310201,2009,6.263333333333333,6
252619080310201,2010,5.673636363636363,11
252619080310201,2011,5.823333333333333,3
252619080310201,2012,6.195,4
252619080310201,2013,6.193333333333333,9
252619080310201,2014,6.04375,8
252619080310201,2015,6.101428571428571,7
252619080310201,2016,5.7325,8
252619080310201,2017,6.221666666666667,6
252619080310201,2018,6.16,6
252619080310201,2019,6.024,5
252619080310201,2020,5.81,3
252619080310201,2021,6.37,3
252619080310201,2022,5.44,8
252619080310201,2023,5.6000000000000005,3
252619080310201,2024,5.436666666666667,3
252619080310201,2025,5.85,2
252626080261001,2018,2.0433333333333334,3
252626080261001,2019,2.216,5
252626080261001,2020,1.823,10
